Estados,Año,Casos,PobTot2020,Tasa_por_100k,iso_code
Aguascalientes,2000,67543,1425607,4737.841494886038,MX-AGU
Baja California,2000,122240,3769020,3243.2833999288937,MX-BCN
Baja California Sur,2000,29843,798447,3737.6306755489095,MX-BCS
Campeche,2000,41807,928363,4503.303126040138,MX-CAM
Coahuila,2000,179643,3146771,5708.804358499554,MX-COA
Colima,2000,42920,731391,5868.270186534973,MX-COL
Chiapas,2000,82796,5543828,1493.4806779719718,MX-CHP
Chihuahua,2000,199771,3741869,5338.802614415416,MX-CHH
CDMX,2000,720886,9209944,7827.257147274729,
Durango,2000,98464,1832650,5372.766212861157,MX-DUR
Guanajuato,2000,228811,6166934,3710.2878026585013,MX-GUA
Guerrero,2000,79404,3540685,2242.616894753416,MX-GRO
Hidalgo,2000,57664,3082841,1870.4824543335192,MX-HID
Jalisco,2000,363714,8348151,4356.82104935572,MX-JAL
Estado de méxico,2000,592700,16992418,3488.0262479418766,
Michoacán,2000,131023,4748846,2759.0492511233256,MX-MIC
Morelos,2000,90151,1971520,4572.664745982795,MX-MOR
Nayarit,2000,44770,1235456,3623.7632096974717,MX-NAY
Nuevo León,2000,414512,5784442,7165.980746284603,MX-NLE
Oaxaca,2000,70951,4132148,1717.048856914128,MX-OAX
Puebla,2000,194299,6583278,2951.402021910665,MX-PUE
Querétaro,2000,64929,2368467,2741.393483633084,MX-QUE
Quintana Roo,2000,52489,1857985,2825.0497178394876,MX-ROO
San Luis Potosí,2000,60937,2822255,2159.1599625122462,MX-SLP
Sinaloa,2000,219987,3026943,7267.629420177386,MX-SIN
Sonora,2000,136037,2944840,4619.503945885005,MX-SON
Tabasco,2000,50235,2402598,2090.8616422722403,MX-TAB
Tamaulipas,2000,221992,3527735,6292.7629201172995,MX-TAM
Tlaxcala,2000,41538,1342977,3092.979254298473,MX-TLA
Veracruz,2000,321658,8062579,3989.517498061104,MX-VER
Yucatán,2000,115214,2320898,4964.199202205354,MX-YUC
Zacatecas,2000,46175,1622138,2846.5518963244804,MX-ZAC
Aguascalientes,2001,76375,1425607,5357.367072411962,MX-AGU
Baja California,2001,123325,3769020,3272.0707239547683,MX-BCN
Baja California Sur,2001,34749,798447,4352.073462609291,MX-BCS
Campeche,2001,41366,928363,4455.800155758038,MX-CAM
Coahuila,2001,224937,3146771,7148.184599387754,MX-COA
Colima,2001,46691,731391,6383.863077341669,MX-COL
Chiapas,2001,75049,5543828,1353.7396903367132,MX-CHP
Chihuahua,2001,208851,3741869,5581.462098218831,MX-CHH
CDMX,2001,734924,9209944,7979.679355270781,
Durango,2001,105907,1832650,5778.899407961149,MX-DUR
Guanajuato,2001,253986,6166934,4118.513348772664,MX-GUA
Guerrero,2001,85526,3540685,2415.5212903717784,MX-GRO
Hidalgo,2001,60291,3082841,1955.6960608737202,MX-HID
Jalisco,2001,353475,8348151,4234.1711356203305,MX-JAL
Estado de méxico,2001,635334,16992418,3738.926384696987,
Michoacán,2001,130482,4748846,2747.657009724047,MX-MIC
Morelos,2001,76926,1971520,3901.8625223178055,MX-MOR
Nayarit,2001,59761,1235456,4837.161339618732,MX-NAY
Nuevo León,2001,398720,5784442,6892.972563299969,MX-NLE
Oaxaca,2001,77993,4132148,1887.4686966681736,MX-OAX
Puebla,2001,175935,6583278,2672.452841882114,MX-PUE
Querétaro,2001,63005,2368467,2660.1595040167335,MX-QUE
Quintana Roo,2001,33942,1857985,1826.8177622531937,MX-ROO
San Luis Potosí,2001,65122,2822255,2307.445641871482,MX-SLP
