Estados,Año,Casos,PobTot2020,Tasa_por_100k
Total,2000,5185103,12601424,41146.960851408534
Total,2001,5230196,12601424,41504.80136213177
Total,2002,5361306,12601424,42545.23933168188
Total,2003,6194077,12601424,49153.78611179181
Total,2004,6790874,12601424,53889.73500137762
Total,2005,1851072,12601424,14689.387485096922
Total,2006,2721421,12601424,21596.13865861509
Total,2007,5484550,12601424,43523.25578442564
Total,2008,6908780,12601424,54825.39116214168
Total,2009,7455997,12601424,59167.892454059154
Total,2010,8730056,12601424,69278.32917930545
Total,2011,9970761,12601424,79124.08153237285
Total,2012,11203044,12601424,88903.00016886981
Total,2013,11903423,12601424,94460.93552601674
Total,2014,9972697,12601424,79139.44487543631
Total,2015,12715083,12601424,100901.95362047972
Total,2016,14360224,12601424,113957.15277892404
Total,2017,13883455,12601424,110173.69941682782
Total,2018,13656681,12601424,108374.10914829944
Total,2019,12790109,12601424,101497.33077785495
Total,2020,7269540,12601424,57688.24221770492
Total,2021,10258345,12601424,81406.23631107088
Total,2022,13146251,12601424,104323.53518142077
Total,2023,15801491,12601424,125394.48716272066
