Estados,Año,Casos
Aguascalientes,2000,67543.0
Aguascalientes,2001,76375.0
Aguascalientes,2002,77405.0
Aguascalientes,2003,74338.0
Aguascalientes,2004,74935.0
Aguascalientes,2005,21357.0
Aguascalientes,2006,29483.0
Aguascalientes,2007,78604.0
Aguascalientes,2008,133158.0
Aguascalientes,2009,142229.0
Aguascalientes,2010,178663.0
Aguascalientes,2011,204349.0
Aguascalientes,2012,225115.0
Aguascalientes,2013,194036.0
Aguascalientes,2014,179898.0
Aguascalientes,2015,234123.0
Aguascalientes,2016,228371.0
Aguascalientes,2017,235856.0
Aguascalientes,2018,194442.0
Aguascalientes,2019,161409.0
Aguascalientes,2020,86265.0
Aguascalientes,2021,134128.0
Aguascalientes,2022,182988.0
Aguascalientes,2023,190098.0
Aguascalientes,2024,226241.5389140527
Aguascalientes,2025,232501.85116237128
Baja California,2000,122240.0
Baja California,2001,123325.0
Baja California,2002,113658.0
Baja California,2003,178379.0
Baja California,2004,158505.0
Baja California,2005,42437.0
Baja California,2006,73488.0
Baja California,2007,206365.0
Baja California,2008,253983.0
Baja California,2009,226223.0
Baja California,2010,319744.0
Baja California,2011,390595.0
Baja California,2012,455190.0
Baja California,2013,418876.0
Baja California,2014,391975.0
Baja California,2015,582879.0
Baja California,2016,585283.0
Baja California,2017,657032.0
Baja California,2018,581767.0
Baja California,2019,496810.0
Baja California,2020,240628.0
Baja California,2021,403733.0
Baja California,2022,580768.0
Baja California,2023,783025.0
Baja California,2024,680830.1838945922
Baja California,2025,705402.4324954888
Baja California Sur,2000,29843.0
Baja California Sur,2001,34749.0
Baja California Sur,2002,34263.0
Baja California Sur,2003,38348.0
Baja California Sur,2004,89279.0
Baja California Sur,2005,13408.0
Baja California Sur,2006,21050.0
Baja California Sur,2007,43319.0
Baja California Sur,2008,65500.0
Baja California Sur,2009,67682.0
Baja California Sur,2010,94018.0
Baja California Sur,2011,94020.0
Baja California Sur,2012,96659.0
Baja California Sur,2013,102908.0
Baja California Sur,2014,74061.0
Baja California Sur,2015,73752.0
Baja California Sur,2016,105938.0
Baja California Sur,2017,97552.0
Baja California Sur,2018,106368.0
Baja California Sur,2019,88486.0
Baja California Sur,2020,55146.0
Baja California Sur,2021,80318.0
Baja California Sur,2022,184251.0
Baja California Sur,2023,201821.0
Baja California Sur,2024,143289.53655505824
Baja California Sur,2025,148055.87098848223
CDMX,2000,720886.0
CDMX,2001,734924.0
CDMX,2002,770311.0
CDMX,2003,817083.0
CDMX,2004,775887.0
CDMX,2005,263506.0
CDMX,2006,321573.0
CDMX,2007,607050.0
CDMX,2008,920870.0
CDMX,2009,1116615.0
CDMX,2010,1126374.0
CDMX,2011,1258266.0
CDMX,2012,1370853.0
CDMX,2013,1810921.0
CDMX,2014,1468749.0
CDMX,2015,1898146.0
CDMX,2016,2251944.0
CDMX,2017,2211411.0
CDMX,2018,2263376.0
CDMX,2019,1988948.0
CDMX,2020,1166080.0
CDMX,2021,1538467.0
CDMX,2022,621115.0
CDMX,2023,1880932.0
CDMX,2024,2040005.3039457342
CDMX,2025,2098789.5148586854
Campeche,2000,41807.0
Campeche,2001,41366.0
Campeche,2002,46574.0
Campeche,2003,53694.0
Campeche,2004,63447.0
Campeche,2005,13777.0
Campeche,2006,24160.0
Campeche,2007,29228.0
Campeche,2008,20968.0
Campeche,2009,21644.0
Campeche,2010,37900.0
Campeche,2011,39585.0
Campeche,2012,44519.0
Campeche,2013,58167.0
Campeche,2014,55157.0
Campeche,2015,67127.0
Campeche,2016,108251.0
Campeche,2017,91410.0
Campeche,2018,72631.0
Campeche,2019,67295.0
Campeche,2020,33898.0
Campeche,2021,67943.0
Campeche,2022,77430.0
Campeche,2023,117849.0
Campeche,2024,85718.53664996695
Campeche,2025,88065.97377653167
Chiapas,2000,82796.0
Chiapas,2001,75049.0
Chiapas,2002,76566.0
Chiapas,2003,75491.0
Chiapas,2004,58580.0
Chiapas,2005,14784.0
Chiapas,2006,35600.0
Chiapas,2007,111003.0
Chiapas,2008,133367.0
Chiapas,2009,145137.0
Chiapas,2010,138197.0
Chiapas,2011,137115.0
Chiapas,2012,133917.0
Chiapas,2013,126406.0
Chiapas,2014,109383.0
Chiapas,2015,188511.0
Chiapas,2016,212872.0
Chiapas,2017,214459.0
Chiapas,2018,195738.0
Chiapas,2019,163974.0
Chiapas,2020,58405.0
Chiapas,2021,114288.0
Chiapas,2022,162042.0
Chiapas,2023,188791.0
Chiapas,2024,191513.46867571893
Chiapas,2025,196584.39192195368
Chihuahua,2000,199771.0
Chihuahua,2001,208851.0
Chihuahua,2002,251252.0
Chihuahua,2003,244106.0
Chihuahua,2004,338580.0
Chihuahua,2005,93994.0
Chihuahua,2006,119561.0
Chihuahua,2007,219450.0
Chihuahua,2008,255615.0
Chihuahua,2009,294810.0
Chihuahua,2010,306279.0
Chihuahua,2011,417307.0
Chihuahua,2012,498673.0
Chihuahua,2013,471558.0
Chihuahua,2014,433229.0
Chihuahua,2015,440178.0
Chihuahua,2016,517195.0
Chihuahua,2017,461898.0
Chihuahua,2018,388451.0
Chihuahua,2019,362803.0
Chihuahua,2020,188236.0
Chihuahua,2021,287104.0
Chihuahua,2022,391625.0
Chihuahua,2023,436449.0
Chihuahua,2024,456416.59891744825
Chihuahua,2025,466063.4636189127
Coahuila,2000,179643.0
Coahuila,2001,224937.0
Coahuila,2002,219128.0
Coahuila,2003,266316.0
Coahuila,2004,363994.0
Coahuila,2005,92649.0
Coahuila,2006,119856.0
Coahuila,2007,235882.0
Coahuila,2008,284550.0
Coahuila,2009,285000.0
Coahuila,2010,359312.0
Coahuila,2011,404104.0
Coahuila,2012,421009.0
Coahuila,2013,435345.0
Coahuila,2014,379859.0
Coahuila,2015,478300.0
Coahuila,2016,536878.0
Coahuila,2017,559638.0
Coahuila,2018,578930.0
Coahuila,2019,558629.0
Coahuila,2020,229403.0
Coahuila,2021,394887.0
Coahuila,2022,506748.0
Coahuila,2023,597272.0
Coahuila,2024,582091.5798689186
Coahuila,2025,598259.6554134088
Colima,2000,42920.0
Colima,2001,46691.0
Colima,2002,39286.0
Colima,2003,38906.0
Colima,2004,44102.0
Colima,2005,13492.0
Colima,2006,21803.0
Colima,2007,39648.0
Colima,2008,50894.0
Colima,2009,54534.0
Colima,2010,68680.0
Colima,2011,74517.0
Colima,2012,79651.0
Colima,2013,66771.0
Colima,2014,66589.0
Colima,2015,93374.0
Colima,2016,107724.0
Colima,2017,113770.0
Colima,2018,110638.0
Colima,2019,97804.0
Colima,2020,57427.0
Colima,2021,69576.0
Colima,2022,92806.0
Colima,2023,114050.0
Colima,2024,111229.23851499414
Colima,2025,114509.2780307516
Durango,2000,98464.0
Durango,2001,105907.0
Durango,2002,105794.0
Durango,2003,134825.0
Durango,2004,118771.0
Durango,2005,30547.0
Durango,2006,41499.0
Durango,2007,103150.0
Durango,2008,115408.0
Durango,2009,156244.0
Durango,2010,204610.0
Durango,2011,273611.0
Durango,2012,283323.0
Durango,2013,291250.0
Durango,2014,193841.0
Durango,2015,215914.0
Durango,2016,236980.0
Durango,2017,232286.0
Durango,2018,247689.0
Durango,2019,237703.0
Durango,2020,138378.0
Durango,2021,218400.0
Durango,2022,114338.0
Durango,2023,277579.0
Durango,2024,265346.99522558314
Durango,2025,272107.8753241477
Estado de méxico,2000,592700.0
Estado de méxico,2001,635334.0
Estado de méxico,2002,720450.0
Estado de méxico,2003,721251.0
Estado de méxico,2004,659438.0
Estado de méxico,2005,189306.0
Estado de méxico,2006,290096.0
Estado de méxico,2007,652073.0
Estado de méxico,2008,728185.0
Estado de méxico,2009,839515.0
Estado de méxico,2010,1075664.0
Estado de méxico,2011,1337238.0
Estado de méxico,2012,1654403.0
Estado de méxico,2013,1714152.0
Estado de méxico,2014,1307794.0
Estado de méxico,2015,1481971.0
Estado de méxico,2016,1538663.0
Estado de méxico,2017,1450092.0
Estado de méxico,2018,1424722.0
Estado de méxico,2019,1384064.0
Estado de méxico,2020,841972.0
Estado de méxico,2021,1060338.0
Estado de méxico,2022,488823.0
Estado de méxico,2023,2120857.0
Estado de méxico,2024,1612332.5816643839
Estado de méxico,2025,1654900.2163537103
Guanajuato,2000,228811.0
Guanajuato,2001,253986.0
Guanajuato,2002,218135.0
Guanajuato,2003,240753.0
Guanajuato,2004,238961.0
Guanajuato,2005,65203.0
Guanajuato,2006,132370.0
Guanajuato,2007,242532.0
Guanajuato,2008,238322.0
Guanajuato,2009,314975.0
Guanajuato,2010,331682.0
Guanajuato,2011,319572.0
Guanajuato,2012,352057.0
Guanajuato,2013,327014.0
Guanajuato,2014,230340.0
Guanajuato,2015,263252.0
Guanajuato,2016,368795.0
Guanajuato,2017,307771.0
Guanajuato,2018,327972.0
Guanajuato,2019,283830.0
Guanajuato,2020,161048.0
Guanajuato,2021,275211.0
Guanajuato,2022,173307.0
Guanajuato,2023,535035.0
Guanajuato,2024,338241.45623389445
Guanajuato,2025,343445.65115178254
Guerrero,2000,79404.0
Guerrero,2001,85526.0
Guerrero,2002,113091.0
Guerrero,2003,102630.0
Guerrero,2004,118622.0
Guerrero,2005,48952.0
Guerrero,2006,68286.0
Guerrero,2007,121102.0
Guerrero,2008,126024.0
Guerrero,2009,139157.0
Guerrero,2010,141208.0
Guerrero,2011,133297.0
Guerrero,2012,127938.0
Guerrero,2013,131882.0
Guerrero,2014,128058.0
Guerrero,2015,178610.0
Guerrero,2016,189668.0
Guerrero,2017,122614.0
Guerrero,2018,130607.0
Guerrero,2019,119137.0
Guerrero,2020,62192.0
Guerrero,2021,85201.0
Guerrero,2022,903481.0
Guerrero,2023,134875.0
Guerrero,2024,266100.5094052236
Guerrero,2025,274714.1903713871
Hidalgo,2000,57664.0
Hidalgo,2001,60291.0
Hidalgo,2002,54763.0
Hidalgo,2003,143999.0
Hidalgo,2004,75648.0
Hidalgo,2005,22981.0
Hidalgo,2006,38248.0
Hidalgo,2007,76123.0
Hidalgo,2008,81043.0
Hidalgo,2009,80566.0
Hidalgo,2010,98110.0
Hidalgo,2011,118085.0
Hidalgo,2012,132800.0
Hidalgo,2013,135337.0
Hidalgo,2014,124510.0
Hidalgo,2015,142628.0
Hidalgo,2016,153988.0
Hidalgo,2017,129073.0
Hidalgo,2018,106400.0
Hidalgo,2019,159631.0
Hidalgo,2020,81643.0
Hidalgo,2021,124053.0
Hidalgo,2022,914424.0
Hidalgo,2023,157333.0
Hidalgo,2024,284845.8477313146
Hidalgo,2025,295845.74258235074
Jalisco,2000,363714.0
Jalisco,2001,353475.0
Jalisco,2002,320156.0
Jalisco,2003,386968.0
Jalisco,2004,488321.0
Jalisco,2005,128065.0
Jalisco,2006,211503.0
Jalisco,2007,499633.0
Jalisco,2008,642554.0
Jalisco,2009,544893.0
Jalisco,2010,699100.0
Jalisco,2011,853525.0
Jalisco,2012,972370.0
Jalisco,2013,1020871.0
Jalisco,2014,866436.0
Jalisco,2015,1001923.0
Jalisco,2016,1034163.0
Jalisco,2017,1065592.0
Jalisco,2018,1103796.0
Jalisco,2019,1006087.0
Jalisco,2020,542413.0
Jalisco,2021,661122.0
Jalisco,2022,542866.0
Jalisco,2023,1109538.0
Jalisco,2024,1095459.1084056878
Jalisco,2025,1125908.7325261973
Michoacán,2000,131023.0
Michoacán,2001,130482.0
Michoacán,2002,124015.0
Michoacán,2003,173994.0
Michoacán,2004,170582.0
Michoacán,2005,54767.0
Michoacán,2006,81738.0
Michoacán,2007,182762.0
Michoacán,2008,222616.0
Michoacán,2009,203941.0
Michoacán,2010,197320.0
Michoacán,2011,196263.0
Michoacán,2012,223777.0
Michoacán,2013,211789.0
